Word,Count,Median WPM,Mistake-Free Entry Proportion
prince,44,94.26976388927307,0.9318181818181818
perform,8,94.20198611058541,1.0
portion,36,94.16210696113298,1.0
close,11,94.11641062754666,0.9090909090909091
sunk,1,94.11025036220487,1.0
place,167,94.06559138188359,0.9880239520958084
shall,2591,94.00970180122589,0.9471246622925511
container,3,93.95964198651572,1.0
than,44,93.95752667837067,0.9318181818181818
region,3,93.92084299174411,1.0
monthly,3,93.89412905999541,1.0
rock,11,93.83074282030223,1.0
latter,6,93.7790359608509,1.0
without,53,93.75016134235355,0.9811320754716981
fever,1,93.71647322456789,1.0
offerings,114,93.64091853805567,0.8859649122807017
those,123,93.6397842182292,0.967479674796748
lacked,1,93.63289791868372,1.0
confuse,3,93.62937986145195,1.0
lease,1,93.54891251977382,1.0
inform,1,93.47672056400216,1.0
consider,2,93.47012083687616,1.0
basin,12,93.45295570779737,0.9166666666666666
they,620,93.3317448948115,0.9629032258064516
light,30,93.32374635561163,0.8666666666666667
gained,1,93.28444321576741,1.0
eight,21,93.27663927377918,0.9523809523809523
loss,2,93.25581595781185,1.0
creation,1,93.15918436180169,1.0
following,3,93.13033363834236,1.0
complained,3,93.06323758437085,1.0
through,48,93.03119212854246,0.9166666666666666
front,19,93.02207205400401,0.9473684210526315
took,177,92.97591953901114,0.9717514124293786
running,9,92.93408252571754,0.8888888888888888
rival,1,92.91031691365332,1.0
flock,46,92.8795742385164,0.9565217391304348
materials,1,92.8630750081067,1.0
names,54,92.8083985515669,0.9259259259259259
finely,4,92.74741682848239,1.0
forth,3,92.67793466827166,1.0
delight,4,92.58608725848953,1.0
haven't,13,92.57693268194939,1.0
incline,1,92.56054707417692,1.0
father,287,92.54990906489402,0.9547038327526133
addition,30,92.52443512285464,1.0
too,16,92.49599864835261,1.0
mother,36,92.47870728065485,0.9444444444444444
folds,2,92.3760769926883,1.0
calling,1,92.29791734968728,1.0
Plain,1,92.1810437789255,1.0
remove,6,92.17803062608621,1.0
stank,1,92.14945510637276,1.0
performed,2,92.14807303562242,1.0
mighty,23,92.11705629588556,0.9565217391304348
members,1,92.03050098967026,1.0
hunger,1,91.97708092614197,1.0
forks,1,91.96649068480153,1.0
according,214,91.93135509815767,0.9018691588785047
soon,6,91.9188350112664,1.0
all,890,91.90604561173976,0.9674157303370786
wounding,1,91.84272016829627,1.0
someone,4,91.78463812445325,1.0
little,40,91.68336745845826,0.95
you,2340,91.68295537013614,0.9863247863247864
valuation,18,91.55452929794298,0.9444444444444444
skin,55,91.53264980488044,0.9818181818181818
accordance,1,91.51407758081218,1.0
span,4,91.45083231635775,1.0
deliver,15,91.41869572184991,0.9333333333333333
vain,2,91.40124614301284,1.0
monitor,1,91.38740357914959,1.0
mountain,71,91.33119497830647,0.9154929577464789
would,40,91.32931447083715,1.0
smaller,2,91.30667657259102,1.0
enter,7,91.27338928138558,0.8571428571428571
leader,1,91.23183897515544,1.0
rightly,1,91.21787674917405,1.0
innocent,1,91.19999956224001,1.0
color,1,91.16435690980653,1.0
ninth,3,91.16287370818448,0.6666666666666666
sowing,3,91.13915398181584,1.0
rooms,1,91.06046168033491,1.0
really,5,90.99621898450907,1.0
space,3,90.98243405481728,1.0
into,272,90.95181206593229,0.9044117647058824
ordinance,21,90.935636077585,0.9047619047619048
uncle,2,90.89302601317385,1.0
high,16,90.87482846576,0.9375
sick,1,90.85753184095105,1.0
flame,2,90.79627884109712,1.0
higher,2,90.7541271971177,1.0
distinction,5,90.7471766965254,1.0
approaching,1,90.63691225659976,1.0
cloak,5,90.63289512590369,1.0
man,332,90.62895417023287,0.9578313253012049
times,36,90.56677228822804,1.0
didn't,103,90.53620542980882,0.9223300970873787
cold,1,90.50616278617565,1.0
fins,5,90.44444967849824,1.0
having,11,90.42666317676682,0.9090909090909091
this,284,90.38221640806809,0.9507042253521126
throughout,62,90.35924876523677,0.8064516129032258
table,21,90.26352440463108,0.9047619047619048
small,13,90.26032770892398,0.9230769230769231
dancing,1,90.24629991164147,1.0
thoughts,1,90.12257726632171,1.0
engraving,1,90.08008374671988,1.0
ground,50,90.00167330478105,0.92
fought,8,89.98918224761857,0.875
thigh,24,89.92487041579167,0.875
vision,4,89.91359458036916,0.75
plain,9,89.85501332006973,1.0
ability,1,89.83642945479035,1.0
cord,2,89.71585523253387,1.0
to,3826,89.63645445171697,0.9694197595399896
gecko,1,89.61588949464667,1.0
direction,1,89.59034196470108,1.0
from,720,89.54560642520951,0.9138888888888889
price,9,89.50712334161705,0.8888888888888888
hating,1,89.5025243838937,1.0
mean,4,89.4978791205745,1.0
dim,3,89.3877036159397,1.0
deliverance,1,89.38234013829143,1.0
plains,9,89.37835954400279,1.0
sure,5,89.35613326806785,1.0
investigate,1,89.32234532878229,1.0
works,6,89.29732034553003,1.0
situation,1,89.27404703275705,1.0
in,1947,89.24979954216118,0.9784283513097073
taught,1,89.22918078356992,1.0
mine,16,89.20044014611125,1.0
plan,1,89.19700391649363,1.0
sleek,3,89.13566262151697,1.0
feel,1,89.09914505138113,1.0
command,46,89.01032121371324,0.8913043478260869
covering,28,88.89558916831191,0.8571428571428571
relations,1,88.86228805438192,1.0
generations,70,88.85050946612063,0.8714285714285714
coming,12,88.76799315424242,0.9166666666666666
am,152,88.75915134439003,1.0
spring,9,88.73230190026499,1.0
limped,1,88.69823335035021,1.0
crop,1,88.67589579156778,1.0
spoken,44,88.6656206316014,0.9772727272727273
changes,2,88.58853039553395,1.0
we're,1,88.51059356298624,1.0
continue,4,88.48216513262625,0.75
rider,3,88.45575604072319,1.0
permit,1,88.4410740615688,1.0
which,697,88.39716062839439,0.9526542324246772
maid,4,88.38307196722855,1.0
overlay,12,88.35948477313283,0.9166666666666666
meant,2,88.35153454879219,1.0
happy,1,88.32509671138064,1.0
putting,1,88.30972047401976,1.0
heavier,1,88.28248008318084,1.0
fish,8,88.26283661700441,1.0
matter,13,88.23767307451917,0.8461538461538461
oppression,3,88.23401005328898,0.6666666666666666
things,77,88.18312007754245,0.922077922077922
living,39,88.15221486829103,0.9743589743589743
talking,2,88.10390953361798,1.0
marsh,2,88.08882034106202,1.0
measure,5,88.06326853528655,1.0
priest,252,88.00506571211113,0.9285714285714286
stoned,7,87.98013641178404,1.0
river,40,87.93438946584573,1.0
summon,1,87.92334220724496,1.0
Name,2,87.91841853990074,1.0
provide,6,87.91111652187794,1.0
unclean,141,87.90652187904377,0.9361702127659575
Tomorrow,5,87.86386810862392,1.0
lentil,1,87.84427406315454,1.0
since,21,87.83624745772804,1.0
on,993,87.80732765905796,0.9778449144008057
houses,64,87.75672850751378,0.953125
onto,7,87.75510784638384,1.0
evening,72,87.74442121462522,0.9166666666666666
goat's,1,87.68794745408871,1.0
plant,3,87.67307979220656,1.0
meal,103,87.67039220171861,0.9805825242718447
boy,17,87.65823757634712,1.0
load,1,87.57349573701892,1.0
south,13,87.57135092920932,0.9230769230769231
alive,30,87.54441079352753,0.9333333333333333
lain,3,87.5203501908012,1.0
road,1,87.49837364676586,1.0
whenever,3,87.49128982059084,0.6666666666666666
princes,32,87.47069953641392,0.9375
outflow,1,87.33265789146733,1.0
short,1,87.32865470259827,1.0
Book,1,87.322719529658,1.0
fallen,5,87.32075368725526,0.8
shine,1,87.27207136757417,1.0
son,351,87.24125866337202,0.9715099715099715
workman,10,87.23675364448432,1.0
worked,9,87.2136334289857,1.0
letting,2,87.17031333924909,1.0
spice,1,87.14606442926409,1.0
victory,1,87.03528678159633,1.0
male,160,87.01861013020972,0.95625
haven,2,87.00556245535614,1.0
lit,2,86.96070638335449,1.0
shovels,3,86.95084725122938,1.0
appoint,11,86.88248571933526,0.8181818181818182
ever,5,86.87003207818907,0.8
couple,4,86.80583714106514,1.0
widow,7,86.78774159311556,1.0
touched,5,86.76912082798714,1.0
change,2,86.68826290073768,1.0
theirs,9,86.68117208662846,1.0
incense,46,86.67284426334996,0.9565217391304348
carving,2,86.56255652670714,1.0
brought,181,86.5144116015826,0.8066298342541437
flow,2,86.50926222522389,1.0
common,3,86.50089457423067,1.0
spoke,204,86.46062570923638,0.9411764705882353
Golan,1,86.40603291069272,1.0
clothing,13,86.39412198584363,1.0
booty,2,86.38009204387137,1.0
golden,28,86.35996833528172,0.9642857142857143
stool,1,86.35536114526623,1.0
upper,1,86.33351805252856,1.0
don't,65,86.33341444933176,0.9846153846153847
accounted,1,86.32854303335509,1.0
controlled,1,86.31267918871835,1.0
Aaron,271,86.28455997004924,0.955719557195572
weight,18,86.2509832017345,0.8333333333333334
plague,74,86.23855737813219,0.9324324324324325
everything,11,86.21864941718887,1.0
anything,44,86.20569972080051,0.8863636363636364
lightnings,2,86.19850089947766,1.0
sign,15,86.17955915115827,1.0
enters,2,86.15395628889402,1.0
company,16,86.15032776177836,1.0
planks,2,86.10666296388374,1.0
males,13,86.04931972405211,0.9230769230769231
for,1473,86.03509090309974,0.96673455532926
that,1303,86.01388806040791,0.9339984650805833
present,20,85.96807086292102,0.95
pleasing,2,85.93550023305048,1.0
remain,13,85.9121862763487,1.0
Assir,1,85.87337128699716,1.0
shown,14,85.83273319513114,0.9285714285714286
lot,11,85.80668112270891,0.8181818181818182
coupled,6,85.76260644169287,1.0
mail,2,85.72687346486109,1.0
fountain,5,85.72070520013273,0.8
fellow,2,85.702516601362,1.0
congregation's,1,85.6616322186656,1.0
gathering,3,85.6557033314715,1.0
gotten,5,85.61079683513104,0.8
certain,7,85.55587281732875,0.7142857142857143
cool,1,85.53022390877132,1.0
everlasting,10,85.52795029457864,0.9
occupation,2,85.51709444774662,1.0
fifteen,7,85.50859252636823,1.0
watering,2,85.48581996387139,1.0
directly,1,85.43711094409343,1.0
proclaim,5,85.43158915325837,0.6
court,37,85.42458957488986,0.972972972972973
daughter,94,85.39984226614612,0.8404255319148937
opening,3,85.3945210505251,1.0
please,30,85.3904108101749,0.9666666666666667
soul,69,85.35188314260299,0.9565217391304348
ledge,2,85.3482954558695,1.0
render,1,85.33007182836567,1.0
inside,10,85.30573657853078,1.0
sight,59,85.30395844133318,0.8983050847457628
coupling,12,85.2712857805221,0.9166666666666666
perish,13,85.27096975901416,0.9230769230769231
entire,2,85.2696236284705,1.0
third,35,85.24869085539069,0.9428571428571428
camp,80,85.24781604057915,0.875
divisions,8,85.24648477074354,0.75
value,4,85.23594865233333,1.0
arms,1,85.19214775667893,1.0
blame,2,85.1840354998077,1.0
tall,3,85.1767153861153,1.0
once,6,85.17624902682012,1.0
rivers,5,85.17431603989115,1.0
happen,29,85.1735057419222,0.896551724137931
glean,1,85.16504212290663,1.0
reported,1,85.13675257164539,1.0
willing,7,85.13091810608168,1.0
mill,1,85.07299107553308,1.0
commanded,160,85.0674723153551,0.8
sheep,43,85.06583095083198,0.9302325581395349
room,5,85.01589034663216,1.0
property,7,84.96435203341933,1.0
second,41,84.96141219630819,0.8536585365853658
fire,159,84.95689875460708,0.9811320754716981
anger,30,84.88280779994543,0.9666666666666667
foals,1,84.83805501225265,1.0
allowed,1,84.75893506444228,1.0
been,37,84.74915432394255,0.972972972972973
evidence,1,84.73665860765729,1.0
wind,10,84.73585771369163,0.9
harden,5,84.71625182149648,1.0
rained,3,84.67853198408474,1.0
happening,1,84.66894896052038,1.0
woven,11,84.65764749299443,1.0
able,41,84.64745061612182,1.0
confess,4,84.64442899365046,1.0
cricket,1,84.6413095121398,1.0
sank,1,84.62227425175743,1.0
tens,3,84.60758212856675,1.0
flashed,1,84.56562777205687,1.0
come,183,84.56460976049692,0.8852459016393442
melt,1,84.53528269347022,1.0
leavened,10,84.49900043045383,1.0
cloth,7,84.48956921561037,0.8571428571428571
perverts,1,84.48584329775944,1.0
THE,2,84.48285912603046,1.0
summons,1,84.46438162265736,1.0
language,5,84.44924670559398,1.0
release,6,84.43826027354518,1.0
loving,12,84.4351786980234,1.0
stubble,2,84.43048938364595,1.0
camel,3,84.42968302133512,1.0
flower,4,84.41729992659558,1.0
outward,1,84.40919823593458,1.0
provided,2,84.39691623084371,1.0
count,21,84.38636084346278,1.0
couldn't,13,84.35992604281279,0.8461538461538461
slopes,2,84.35567477970373,1.0
heavily,1,84.26703169004679,1.0
sinners,1,84.26335813198278,1.0
threatened,1,84.25632284969308,1.0
fine,82,84.24625163773075,0.9634146341463414
side,78,84.24280789679324,0.9230769230769231
power,13,84.20549856797182,0.9230769230769231
speak,56,84.18353972082443,0.9285714285714286
ruler,4,84.15807698884167,0.75
rib,1,84.15170220906143,1.0
Neither,3,84.09157572596557,0.6666666666666666
fastened,1,84.0760293017083,1.0
thousand,90,84.05504514643295,0.9333333333333333
feeding,3,84.03532979721203,1.0
ended,1,83.99344493317446,1.0
slave,7,83.98197746763545,1.0
clean,65,83.96800115504143,0.8769230769230769
iron,7,83.94815152291565,0.8571428571428571
cleft,1,83.93745967609463,1.0
rich,6,83.93375859224409,1.0
touches,35,83.92961452701729,0.9428571428571428
wagon,1,83.92774869933845,1.0
companies,2,83.91568389981596,1.0
winter,1,83.84897864030768,1.0
son's,16,83.79254364190605,0.9375
valleys,5,83.78546731095031,0.8
today,63,83.78364622764244,0.9682539682539683
also,146,83.77788566710532,0.9726027397260274
accomplish,3,83.75793955468694,1.0
forgot,1,83.73975142329316,1.0
together,46,83.73757877919734,0.8478260869565217
teeth,2,83.712597681275,1.0
therefore,56,83.65234496617458,0.8928571428571429
prison,9,83.64707443723994,1.0
wholly,8,83.63898685393286,1.0
healing,1,83.58018716738164,1.0
wall,11,83.58007113510303,0.8181818181818182
sought,5,83.57698665744599,0.8
of,6290,83.57168556553378,0.9748807631160572
broke,5,83.57139085088437,0.8
creep,3,83.56942659716813,1.0
sore,2,83.55539337923787,1.0
already,3,83.52916347953189,1.0
carried,8,83.52880549810946,1.0
total,1,83.52243810950448,1.0
minister,27,83.50848128185186,0.9259259259259259
look,17,83.50152018170681,0.9411764705882353
trouble,3,83.46712152379263,1.0
lace,4,83.44954425780199,1.0
shoulder,14,83.4338809895547,0.8571428571428571
lion,3,83.41670180986245,1.0
sealskin,7,83.39306397735618,0.7142857142857143
mark,4,83.3883477069744,1.0
evaluate,2,83.37394882019854,1.0
LORD,1295,83.35811645389363,0.9374517374517375
changed,7,83.35331720844228,1.0
eleven,8,83.34139855290577,1.0
consent,4,83.31264468471795,0.75
sinned,31,83.26290361384628,0.9032258064516129
again,66,83.25786727434067,0.9393939393939394
counted,94,83.24349294557916,0.9148936170212766
fight,8,83.22101090044768,0.75
can't,17,83.2169788911312,0.8235294117647058
standing,11,83.20898631534783,1.0
sound,9,83.20628011713714,1.0
could,7,83.18202200045809,1.0
with,1080,83.1806796368399,0.9185185185185185
moves,8,83.17255304993262,0.875
along,15,83.14905815967026,0.9333333333333333
taken,52,83.10403855703063,0.9038461538461539
willows,1,83.0978139312668,1.0
including,5,83.0885501690624,1.0
perpetually,1,83.07525287510659,1.0
parable,7,83.06089278099488,1.0
Place,7,83.05147266864415,0.8571428571428571
sit,5,83.04371357646495,1.0
lifts,1,83.02797489234038,1.0
tent,46,83.02685939523661,0.9347826086956522
captivity,1,83.02087332244133,1.0
hang,9,83.01963757922499,1.0
desolation,3,83.0184684960478,0.6666666666666666
cutting,3,83.01635301385345,1.0
curtain,22,83.01280420264743,0.9090909090909091
songs,1,82.99751994972308,1.0
riverside,2,82.98949438941983,1.0
father's,58,82.9756513086563,0.9655172413793104
finger,18,82.97291137016148,1.0
ends,14,82.968879513632,1.0
flying,1,82.96737815222727,1.0
almost,1,82.94218595220846,1.0
open,15,82.92574107862634,1.0
justify,1,82.92239920893927,1.0
happened,3,82.9152095653722,1.0
continual,20,82.9139812179593,0.85
overflow,1,82.83999370133012,1.0
inspect,1,82.813550958801,1.0
TO,2,82.79214686426717,1.0
service,63,82.79188695924556,0.9523809523809523
stork,2,82.77370684813258,1.0
force,1,82.7154184836263,1.0
riches,1,82.70843311737238,1.0
lights,4,82.69670374608984,0.75
have,548,82.66388556685692,0.9817518248175182
listen,46,82.64250166527631,0.9347826086956522
eagle,2,82.63118310489077,1.0
attention,3,82.59612626079783,1.0
wonders,9,82.5856519170721,0.7777777777777778
same,35,82.57373737981918,0.8857142857142857
keeping,5,82.56920303314665,0.8
tower,3,82.55212185156579,1.0
master,29,82.55161691192049,0.9310344827586207
dove,5,82.54342656102054,1.0
offered,30,82.5423310960901,0.9
sister,41,82.53521427678271,1.0
current,1,82.50749437671647,1.0
ministry,1,82.4780088176294,1.0
entered,11,82.4603889226377,0.8181818181818182
alien,6,82.45284504108002,1.0
Man,1,82.44468327600462,1.0
shave,10,82.38865571634066,0.9
tiller,1,82.38601337227979,1.0
angel,28,82.38015152480577,1.0
unit,3,82.3778068367017,1.0
remembered,7,82.3557967345368,1.0
outside,42,82.32393355547792,0.9523809523809523
delivered,23,82.31781559962803,0.8695652173913043
talked,6,82.29160506349513,1.0
men,149,82.25943827086091,0.9530201342281879
planted,6,82.25878663325143,1.0
stone,47,82.25147409686747,0.9787234042553191
lead,8,82.24752074255926,1.0
gull,1,82.22621178091632,1.0
boundaries,1,82.20455726816549,1.0
sinew,2,82.19615748917437,1.0
devise,1,82.19374333828273,1.0
voice,63,82.1565078818756,0.9047619047619048
cause,22,82.15423480478674,1.0
rain,12,82.15404825856976,0.9166666666666666
articles,1,82.09526209702592,1.0
flint,2,82.06084568697514,1.0
balances,1,82.03549141115408,1.0
blessings,5,82.00719959125303,1.0
Mountain,2,81.98169409476779,1.0
chains,8,81.90968505802729,0.75
archers,1,81.89929999030313,1.0
lose,1,81.89002170085575,1.0
drove,6,81.86068220816902,1.0
audience,1,81.85440876568222,1.0
South,11,81.84545123443401,1.0
house,180,81.82882075635635,0.9944444444444445
wrapped,1,81.81588406689227,1.0
control,3,81.79922593645684,0.6666666666666666
wood,52,81.79133726833203,0.9423076923076923
swarm,1,81.76119523137423,1.0
thanksgiving,5,81.75910389751041,0.8
placed,5,81.75792409127172,1.0
ancient,1,81.7437498874807,1.0
play,10,81.72871283609405,0.9
fours,4,81.72611353888242,1.0
marries,1,81.72309582871232,1.0
about,28,81.7134693324289,0.9642857142857143
love,20,81.71122986799637,0.95
strained,1,81.70035173729045,1.0
itching,3,81.69112628331874,1.0
cleanse,10,81.68225326417684,1.0
lamp,29,81.68009711232625,0.8275862068965517
promised,7,81.66236795536425,0.7142857142857143
woman,77,81.65147822611868,0.8701298701298701
captain,9,81.63853730359203,0.7777777777777778
staying,1,81.63815375910066,1.0
Gather,5,81.6337058768757,0.8
ordinances,29,81.62325528166231,0.8620689655172413
laugh,5,81.60716697643251,1.0
assist,1,81.60000612000044,1.0
else,11,81.58682984599211,1.0
charge,3,81.57752422823577,1.0
lord,43,81.5751077882065,0.9302325581395349
height,13,81.57056574533615,0.8461538461538461
eating,3,81.54146972872825,1.0
places,15,81.53697579886753,0.9333333333333333
captives,4,81.53623058311129,1.0
direct,1,81.52350445767975,1.0
lend,4,81.5018095843954,1.0
found,61,81.4939009910169,0.9344262295081968
clip,1,81.4777345115919,1.0
commit,4,81.4493219331077,0.75
dominion,4,81.43499170907691,1.0
lack,4,81.41276029941561,0.75
period,10,81.40889586742657,0.9
strip,1,81.392940663012,1.0
springs,4,81.35398805171221,1.0
nothing,24,81.34223713371168,0.7916666666666666
door,82,81.33270238603784,0.8414634146341463
pit,9,81.32455103482667,1.0
linen,50,81.30910918457036,0.88
off,71,81.29847209684003,1.0
witnesses,1,81.26564469475014,1.0
bitten,2,81.26503779257895,1.0
talent,3,81.26364214097855,1.0
think,2,81.2566085292699,1.0
walled,2,81.22327702893622,1.0
starting,3,81.21807086036074,1.0
holy,189,81.21685398482391,0.9523809523809523
these,141,81.2048773679469,0.9078014184397163
scales,5,81.19275156176033,1.0
convocation,16,81.19133657932778,0.875
blessing,17,81.17522274301436,1.0
over,185,81.16975190526207,0.9621621621621622
comes,31,81.16277854685146,0.9032258064516129
white,29,81.14486390480124,0.9310344827586207
contend,4,81.13466377101278,1.0
driven,5,81.13225314835596,1.0
Tent,153,81.1314169582196,0.9281045751633987
Alush,2,81.12722042599597,1.0
promote,3,81.12594764547399,1.0
surrounding,1,81.10933816953415,1.0
clearly,1,81.09426735336855,1.0
meat,45,81.08847766519244,1.0
heaps,1,81.08529050340537,1.0
points,2,81.06421926703145,1.0
interpret,4,81.05098363653781,1.0
mourning,4,81.03389355817512,1.0
sun,13,81.03220004894615,0.9230769230769231
wanted,2,81.02062960974207,1.0
then,240,81.00597900888481,0.9083333333333333
throne,3,81.00298571942676,1.0
pleases,1,80.99833338697063,1.0
drained,2,80.96423339016138,1.0
image,12,80.96211800195701,1.0
anointing,23,80.95978830538603,0.9565217391304348
Asher's,1,80.94848816069432,1.0
pass,50,80.91288455687612,0.94
big,5,80.89975521217235,1.0
Rissah,2,80.87874781562144,1.0
call,18,80.87086673210351,0.8888888888888888
worship,6,80.84390045473656,1.0
speaks,4,80.8434291492416,1.0
provoke,3,80.81615013935091,1.0
sons,365,80.80164211426566,0.9287671232876712
saying,272,80.7863515182394,0.9448529411764706
settings,10,80.78513712379407,0.8
it,1197,80.75943018528464,0.9699248120300752
stand,59,80.74800472756958,0.9661016949152542
sins,21,80.74232474815334,0.9523809523809523
sleep,7,80.72809117508116,0.8571428571428571
persons,10,80.72121207757277,1.0
Call,1,80.71783948653244,1.0
raven,3,80.71741639693597,1.0
around,80,80.71176784133083,0.9375
pain,2,80.69328452446786,1.0
frame,2,80.65851122355204,1.0
tabernacle,93,80.65671368420963,0.989247311827957
worthy,1,80.63574186515389,1.0
engrave,3,80.6319304080092,0.6666666666666666
rode,1,80.62413155842667,1.0
thrown,2,80.60238530418911,1.0
cleanses,1,80.59710702561203,1.0
plaster,1,80.58923517739993,1.0
pleased,5,80.57735918675297,0.8
passes,4,80.54434422478954,1.0
mother's,18,80.54280997098546,0.9444444444444444
women,18,80.53825535727576,1.0
semen,5,80.53201240574714,1.0
interpreter,1,80.52147213300907,1.0
explain,1,80.51623042482578,1.0
got,7,80.51609312727511,0.8571428571428571
thousands,18,80.51412373023452,0.8888888888888888
sold,24,80.47910983559154,1.0
walk,24,80.46576736270838,0.7083333333333334
presented,12,80.45666890140186,1.0
Count,3,80.45262194571978,1.0
married,12,80.44142362794071,1.0
spreading,2,80.43790563573353,1.0
valuations,1,80.41844170663046,1.0
messengers,7,80.41678233029222,1.0
water,146,80.40919776344555,0.9315068493150684
turned,40,80.40758721774995,0.975
wings,6,80.40455193265049,1.0
youth,6,80.39078035541216,1.0
undone,3,80.36099570050591,0.6666666666666666
cluster,2,80.34051164246108,1.0
summer,1,80.32800226059064,1.0
never,6,80.29677433073053,1.0
larger,2,80.29200391469752,1.0
discharge,27,80.28146586784862,1.0
burnt,147,80.27949305507124,0.9319727891156463
country,24,80.26973637640418,0.875
nevertheless,1,80.25801650342471,1.0
error,2,80.24438313114075,1.0
word,42,80.24151511236948,0.9761904761904762
booths,1,80.22700158786395,1.0
should,48,80.2231664168816,0.9375
diminished,1,80.22195634392934,1.0
ram's,1,80.21221478291065,1.0
discourage,1,80.19229669015591,1.0
ours,3,80.19190376992933,1.0
pardoned,1,80.18824189785522,1.0
keep,101,80.18713673034443,0.9603960396039604
wouldn't,6,80.18353475014112,0.8333333333333334
pronounce,21,80.17007433972053,0.9047619047619048
scatter,4,80.16886276629144,1.0
many,32,80.15401618018258,0.90625
louder,2,80.12934375206798,1.0
use,7,80.10888880820144,1.0
rings,42,80.10595897658979,0.8809523809523809
flaming,2,80.09577596258649,1.0
reaching,1,80.09296624196189,1.0
